ID,sequence_long,start_positions,coordinates
P01_105,"['container', 'lid', 'pot', 'tray', 'fork', 'cup', 'board:cutting', 'mushroom', 'choi:pak', 'tofu', 'carrot', 'courgette', 'knife', 'wok', 'pan', 'dice:courgette', 'slice:courgette', 'ic:courgette', 'peeler', 'oil', 'salt', 'skin:carrot', 'spatula', 'onion', 'card', 'bag', 'box', 'cloth', 'pak', 'colander', 'bowl', 'leaf:pak:choi', 'bit:pak:choi', 'garlic', 'bit:food', 'noodle', 'saucepan', 'scissors', 'kettle', 'box:plastic', 'skin:garlic', 'sauce:soy', 'towel:tea', 'chopstick', 'cutlery', 'spoon', 'timer', 'sponge', 'liquid:washing:up']","{'container': [], 'lid': [], 'pot': [], 'tray': [], 'fork': [], 'cup': [], 'board:cutting': [3, 1, 2], 'mushroom': [1, 1, 2], 'choi:pak': [0, 0, 2], 'tofu': [0, 0, 2], 'carrot': [0, 0, 2], 'courgette': [0, 0, 2], 'knife': [2, 1, 2], 'wok': [1, 1, 2], 'pan': [], 'dice:courgette': [], 'slice:courgette': [], 'ic:courgette': [2, 1, 2], 'peeler': [2, 1, 2], 'oil': [2, 1, 2], 'salt': [], 'skin:carrot': [], 'spatula': [3, 1, 2], 'onion': [2, 1, 2], 'card': [], 'bag': [], 'box': [], 'cloth': [], 'pak': [], 'colander': [], 'bowl': [], 'leaf:pak:choi': [], 'bit:pak:choi': [], 'garlic': [2, 1, 2], 'bit:food': [], 'noodle': [2, 1, 2], 'saucepan': [2, 1, 2], 'scissors': [2, 1, 2], 'kettle': [2, 1, 2], 'box:plastic': [], 'skin:garlic': [], 'sauce:soy': [2, 1, 2], 'towel:tea': [], 'chopstick': [], 'cutlery': [], 'spoon': [], 'timer': [], 'sponge': [], 'liquid:washing:up': []}","{'container': [], 'lid': [], 'pot': [], 'tray': [], 'fork': [], 'cup': [], 'board:cutting': [1, 1, 1], 'mushroom': [0, 0, 2], 'choi:pak': [0, 0, 2], 'tofu': [0, 0, 2], 'carrot': [0, 0, 2], 'courgette': [0, 0, 2], 'knife': [3, 1, 3], 'wok': [1, 1, 1], 'pan': [], 'dice:courgette': [], 'slice:courgette': [], 'ic:courgette': [2, 1, 2], 'peeler': [2, 1, 2], 'oil': [1, 1, 3], 'salt': [], 'skin:carrot': [], 'spatula': [2, 1, 2], 'onion': [2, 1, 2], 'card': [], 'bag': [], 'box': [], 'cloth': [], 'pak': [], 'colander': [], 'bowl': [], 'leaf:pak:choi': [], 'bit:pak:choi': [], 'garlic': [1, 1, 2], 'bit:food': [], 'noodle': [1, 1, 3], 'saucepan': [1, 1, 0], 'scissors': [3, 1, 2], 'kettle': [2, 1, 2], 'box:plastic': [], 'skin:garlic': [], 'sauce:soy': [1, 1, 3], 'towel:tea': [], 'chopstick': [], 'cutlery': [], 'spoon': [], 'timer': [], 'sponge': [], 'liquid:washing:up': []}"
P01_109,"['rucksack', 'egg', 'onion', 'foil:aluminium', 'potato', 'box', 'beer', 'cup', 'spoon', 'plate', 'cloth', 'pan', 'board:cutting', 'peeler', 'knife', 'bit:potato', 'slice:potato', 'blade:peeler', 'oil:olive', 'salt', 'skin:potato', 'spatula', 'fork', 'skin:onion', 'bowl', 'bit:onion', 'glass', 'bottle:oil', 'lid', 'box:egg', 'roll:kitchen', 'liquid:washing:up', 'sponge', 'bit:food', 'grid:hob']","{'rucksack': [], 'egg': [], 'onion': [], 'foil:aluminium': [], 'potato': [], 'box': [], 'beer': [], 'cup': [], 'spoon': [], 'plate': [], 'cloth': [], 'pan': [], 'board:cutting': [], 'peeler': [], 'knife': [], 'bit:potato': [], 'slice:potato': [], 'blade:peeler': [], 'oil:olive': [], 'salt': [], 'skin:potato': [], 'spatula': [], 'fork': [], 'skin:onion': [], 'bowl': [], 'bit:onion': [], 'glass': [], 'bottle:oil': [], 'lid': [], 'box:egg': [], 'roll:kitchen': [], 'liquid:washing:up': [], 'sponge': [], 'bit:food': [], 'grid:hob': []}","{'rucksack': [], 'egg': [], 'onion': [], 'foil:aluminium': [], 'potato': [], 'box': [], 'beer': [], 'cup': [], 'spoon': [], 'plate': [], 'cloth': [], 'pan': [], 'board:cutting': [], 'peeler': [], 'knife': [], 'bit:potato': [], 'slice:potato': [], 'blade:peeler': [], 'oil:olive': [], 'salt': [], 'skin:potato': [], 'spatula': [], 'fork': [], 'skin:onion': [], 'bowl': [], 'bit:onion': [], 'glass': [], 'bottle:oil': [], 'lid': [], 'box:egg': [], 'roll:kitchen': [], 'liquid:washing:up': [], 'sponge': [], 'bit:food': [], 'grid:hob': []}"
P02_101,"['milk', 'bread', 'toast', 'plate', 'knife', 'butter', 'jam', 'stirrer', 'lid', 'sponge', 'liquid:washing', 'mug']","{'milk': [], 'bread': [], 'toast': [], 'plate': [], 'knife': [], 'butter': [], 'jam': [], 'stirrer': [], 'lid': [], 'sponge': [], 'liquid:washing': [], 'mug': []}","{'milk': [], 'bread': [], 'toast': [], 'plate': [], 'knife': [], 'butter': [], 'jam': [], 'stirrer': [], 'lid': [], 'sponge': [], 'liquid:washing': [], 'mug': []}"
P02_104,"['tupperware', 'pasta', 'pan', 'kettle', 'glove', 'strainer', 'salt', 'cutlery', 'meat', 'spoon:wooden', 'sponge', 'liquid:washing', 'tray', 'cheese', 'plate', 'knife', 'fork', 'grater', 'scissors', 'drainer', 'pot:pasta']","{'tupperware': [], 'pasta': [], 'pan': [], 'kettle': [], 'glove': [], 'strainer': [], 'salt': [], 'cutlery': [], 'meat': [], 'spoon:wooden': [], 'sponge': [], 'liquid:washing': [], 'tray': [], 'cheese': [], 'plate': [], 'knife': [], 'fork': [], 'grater': [], 'scissors': [], 'drainer': [], 'pot:pasta': [4, 2, 2]}","{'tupperware': [], 'pasta': [], 'pan': [], 'kettle': [], 'glove': [], 'strainer': [], 'salt': [], 'cutlery': [], 'meat': [], 'spoon:wooden': [], 'sponge': [], 'liquid:washing': [], 'tray': [], 'cheese': [], 'plate': [], 'knife': [], 'fork': [], 'grater': [], 'scissors': [], 'drainer': [], 'pot:pasta': [4, 2, 2]}"
P02_109,"['board:chopping', 'onion', 'knife', 'piece:onion', 'pan', 'bottle:oil', 'meat', 'cube:stock', 'spoon:wooden', 'press:garlic', 'garlic', 'piece:garlic', 'presser:garlic', 'lid', 'packaging', 'brush']","{'board:chopping': [], 'onion': [], 'knife': [], 'piece:onion': [], 'pan': [2, 2, 2], 'bottle:oil': [], 'meat': [0, 2, 2], 'cube:stock': [0, 2, 3], 'spoon:wooden': [], 'press:garlic': [], 'garlic': [], 'piece:garlic': [], 'presser:garlic': [], 'lid': [], 'packaging': [], 'brush': []}","{'board:chopping': [], 'onion': [], 'knife': [], 'piece:onion': [], 'pan': [4, 3, 0], 'bottle:oil': [], 'meat': [0, 2, 3], 'cube:stock': [0, 2, 3], 'spoon:wooden': [], 'press:garlic': [], 'garlic': [], 'piece:garlic': [], 'presser:garlic': [], 'lid': [], 'packaging': [], 'brush': []}"
P02_110,"['spoon:wooden', 'glass', 'kettle', 'spoon', 'stock', 'salt', 'jar:pepper', 'lid']","{'spoon:wooden': [], 'glass': [], 'kettle': [], 'spoon': [], 'stock': [], 'salt': [], 'jar:pepper': [], 'lid': []}","{'spoon:wooden': [], 'glass': [], 'kettle': [], 'spoon': [], 'stock': [], 'salt': [], 'jar:pepper': [], 'lid': []}"
P02_111,"['lid', 'spoon:wooden', 'paper']","{'lid': [], 'spoon:wooden': [], 'paper': []}","{'lid': [], 'spoon:wooden': [], 'paper': []}"
P02_112,"['spoon', 'yoghurt', 'jar:tahini:sauce', 'lid', 'jar:tahini', 'jar:spice', 'jar', 'tray', 'bottle:oil', 'drainer', 'plate', 'oil', 'tray:second', 'dough:remaining', 'bowl', 'pan', 'meat']","{'spoon': [], 'yoghurt': [], 'jar:tahini:sauce': [], 'lid': [], 'jar:tahini': [], 'jar:spice': [], 'jar': [], 'tray': [], 'bottle:oil': [], 'drainer': [], 'plate': [], 'oil': [], 'tray:second': [], 'dough:remaining': [], 'bowl': [], 'pan': [], 'meat': []}","{'spoon': [], 'yoghurt': [], 'jar:tahini:sauce': [], 'lid': [], 'jar:tahini': [], 'jar:spice': [], 'jar': [], 'tray': [], 'bottle:oil': [], 'drainer': [], 'plate': [], 'oil': [], 'tray:second': [], 'dough:remaining': [], 'bowl': [], 'pan': [], 'meat': []}"
P02_113,"['nut:pine', 'scissors', 'yoghurt', 'bag:pine:nut', 'sponge', 'liquid:washing', 'bowl', 'glove', 'board:chopping', 'mug', 'spoon', 'spoon:wooden', 'knife', 'salt', 'bottle:oil', 'tray', 'plate', 'lid']","{'nut:pine': [], 'scissors': [], 'yoghurt': [], 'bag:pine:nut': [], 'sponge': [], 'liquid:washing': [], 'bowl': [], 'glove': [], 'board:chopping': [], 'mug': [], 'spoon': [], 'spoon:wooden': [], 'knife': [], 'salt': [], 'bottle:oil': [], 'tray': [], 'plate': [], 'lid': []}","{'nut:pine': [], 'scissors': [], 'yoghurt': [], 'bag:pine:nut': [], 'sponge': [], 'liquid:washing': [], 'bowl': [], 'glove': [], 'board:chopping': [], 'mug': [], 'spoon': [], 'spoon:wooden': [], 'knife': [], 'salt': [], 'bottle:oil': [], 'tray': [], 'plate': [], 'lid': []}"
P02_115,"['oven', 'glove', 'plate', 'spatula:wooden', 'pie']","{'oven': [4, 2, 1], 'glove': [], 'plate': [], 'spatula:wooden': [], 'pie': []}","{'oven': [4, 2, 1], 'glove': [], 'plate': [], 'spatula:wooden': [], 'pie': []}"
P02_122,"['glove', 'mould:cake', 'plate', 'board:chopping', 'piece:baking:paper', 'egg', 'pepper', 'tomato', 'knife', 'fork', 'jar:pepper', 'jar:thyme', 'salt', 'jar:spice', 'bottle:oil', 'box:tomato', 'cheese:parmesan', 'grater', 'spatula', 'cheese', 'clip', 'pan', 'bag:bread:wrap', 'wrap']","{'glove': [], 'mould:cake': [], 'plate': [], 'board:chopping': [], 'piece:baking:paper': [], 'egg': [0, 2, 2], 'pepper': [], 'tomato': [], 'knife': [], 'fork': [], 'jar:pepper': [], 'jar:thyme': [], 'salt': [], 'jar:spice': [], 'bottle:oil': [], 'box:tomato': [], 'cheese:parmesan': [], 'grater': [], 'spatula': [], 'cheese': [], 'clip': [], 'pan': [], 'bag:bread:wrap': [], 'wrap': []}","{'glove': [], 'mould:cake': [], 'plate': [], 'board:chopping': [], 'piece:baking:paper': [], 'egg': [0, 2, 3], 'pepper': [], 'tomato': [], 'knife': [], 'fork': [], 'jar:pepper': [], 'jar:thyme': [], 'salt': [], 'jar:spice': [], 'bottle:oil': [], 'box:tomato': [], 'cheese:parmesan': [], 'grater': [], 'spatula': [], 'cheese': [], 'clip': [], 'pan': [], 'bag:bread:wrap': [], 'wrap': []}"
P02_123,"['glove', 'knife', 'pan', 'scissors', 'lemon', 'half:lemon', 'bottle:water', 'squeezer', 'half:second:lemon', 'peel:lemon', 'doritos', 'bag:sugar', 'glass', 'spoon:wooden', 'bag:pistachio', 'board:chopping', 'glove:second', 'mould:cake', 'cloth:cleaning', 'apron', 'tray', 'tray:second', 'mug', 'plate', 'piece:juicer', 'piece:food:processor', 'sponge', 'spatula', 'liquid:washing', 'fork', 'piece:hand:blender', 'bowl', 'spoon', 'infuser:tea', 'blender', 'cover:blender', 'cover:plastic', 'grater', 'cutlery']","{'glove': [], 'knife': [], 'pan': [], 'scissors': [], 'lemon': [], 'half:lemon': [], 'bottle:water': [], 'squeezer': [], 'half:second:lemon': [], 'peel:lemon': [], 'doritos': [], 'bag:sugar': [], 'glass': [], 'spoon:wooden': [], 'bag:pistachio': [], 'board:chopping': [], 'glove:second': [], 'mould:cake': [4, 2, 1], 'cloth:cleaning': [], 'apron': [], 'tray': [], 'tray:second': [], 'mug': [], 'plate': [], 'piece:juicer': [], 'piece:food:processor': [], 'sponge': [], 'spatula': [], 'liquid:washing': [], 'fork': [], 'piece:hand:blender': [], 'bowl': [], 'spoon': [], 'infuser:tea': [], 'blender': [], 'cover:blender': [], 'cover:plastic': [], 'grater': [], 'cutlery': []}","{'glove': [], 'knife': [], 'pan': [], 'scissors': [], 'lemon': [], 'half:lemon': [], 'bottle:water': [], 'squeezer': [], 'half:second:lemon': [], 'peel:lemon': [], 'doritos': [], 'bag:sugar': [], 'glass': [], 'spoon:wooden': [], 'bag:pistachio': [], 'board:chopping': [], 'glove:second': [], 'mould:cake': [4, 2, 1], 'cloth:cleaning': [], 'apron': [], 'tray': [], 'tray:second': [], 'mug': [], 'plate': [], 'piece:juicer': [], 'piece:food:processor': [], 'sponge': [], 'spatula': [], 'liquid:washing': [], 'fork': [], 'piece:hand:blender': [], 'bowl': [], 'spoon': [], 'infuser:tea': [], 'blender': [], 'cover:blender': [], 'cover:plastic': [], 'grater': [], 'cutlery': []}"
P02_126,"['lid', 'bag:glove', 'glove', 'plate', 'pan', 'yoghurt', 'spoon']","{'lid': [], 'bag:glove': [], 'glove': [], 'plate': [], 'pan': [], 'yoghurt': [], 'spoon': []}","{'lid': [], 'bag:glove': [], 'glove': [], 'plate': [], 'pan': [], 'yoghurt': [], 'spoon': []}"
P02_129,"['lid:pan', 'pan', 'kettle', 'bag:spaghetti', 'spaghetti', 'bag', 'garlic', 'knife', 'presser:garlic', 'bottle:oil', 'box:cherry:tomato', 'board:chopping', 'jar:spice', 'salt', 'lid', 'bottle:vegetable:oil', 'bag:flour', 'plate', 'box:tomato', 'jar:pesto:sauce', 'spoon', 'mould:cake', 'glass', 'mug', 'cutlery', 'sponge', 'bottle:washing:liquid', 'glove', 'cover:squeezer', 'fork', 'brush', 'drainer:sink', 'sponge:cleaning', 'dirt', 'blade:chopping', 'blender', 'biscuit', 'cover:food:processor', 'cheese:parmesan', 'grater', 'parmesan', 'cheese', 'clip']","{'lid:pan': [], 'pan': [], 'kettle': [], 'bag:spaghetti': [], 'spaghetti': [], 'bag': [], 'garlic': [], 'knife': [], 'presser:garlic': [], 'bottle:oil': [], 'box:cherry:tomato': [], 'board:chopping': [], 'jar:spice': [], 'salt': [], 'lid': [], 'bottle:vegetable:oil': [], 'bag:flour': [], 'plate': [], 'box:tomato': [], 'jar:pesto:sauce': [], 'spoon': [], 'mould:cake': [], 'glass': [], 'mug': [], 'cutlery': [], 'sponge': [], 'bottle:washing:liquid': [], 'glove': [], 'cover:squeezer': [], 'fork': [], 'brush': [], 'drainer:sink': [], 'sponge:cleaning': [], 'dirt': [], 'blade:chopping': [], 'blender': [], 'biscuit': [], 'cover:food:processor': [], 'cheese:parmesan': [], 'grater': [], 'parmesan': [], 'cheese': [], 'clip': []}","{'lid:pan': [], 'pan': [], 'kettle': [], 'bag:spaghetti': [], 'spaghetti': [], 'bag': [], 'garlic': [], 'knife': [], 'presser:garlic': [], 'bottle:oil': [], 'box:cherry:tomato': [], 'board:chopping': [], 'jar:spice': [], 'salt': [], 'lid': [], 'bottle:vegetable:oil': [], 'bag:flour': [], 'plate': [], 'box:tomato': [], 'jar:pesto:sauce': [], 'spoon': [], 'mould:cake': [], 'glass': [], 'mug': [], 'cutlery': [], 'sponge': [], 'bottle:washing:liquid': [], 'glove': [], 'cover:squeezer': [], 'fork': [], 'brush': [], 'drainer:sink': [], 'sponge:cleaning': [], 'dirt': [], 'blade:chopping': [], 'blender': [], 'biscuit': [], 'cover:food:processor': [], 'cheese:parmesan': [], 'grater': [], 'parmesan': [], 'cheese': [], 'clip': []}"
P02_130,"['filter:water', 'glass', 'pan', 'sponge', 'bowl', 'spoon', 'bowl:food:processor', 'packaging:biscuit', 'ladder', 'biscuit', 'tin:cocoa:powder', 'tin:condensed:milk', 'blade:food:processor:chopping', 'cover:food:processor', 'blade:chopping', 'apron', 'tray:oven', 'butter', 'knife', 'spoon:wooden', 'opener:can', 'powder:cocoa', 'lid', 'paper:foil', 'bag:plastic', 'cover:plastic']","{'filter:water': [], 'glass': [], 'pan': [], 'sponge': [], 'bowl': [], 'spoon': [], 'bowl:food:processor': [], 'packaging:biscuit': [], 'ladder': [], 'biscuit': [], 'tin:cocoa:powder': [], 'tin:condensed:milk': [], 'blade:food:processor:chopping': [], 'cover:food:processor': [], 'blade:chopping': [], 'apron': [], 'tray:oven': [], 'butter': [], 'knife': [], 'spoon:wooden': [], 'opener:can': [], 'powder:cocoa': [], 'lid': [], 'paper:foil': [], 'bag:plastic': [], 'cover:plastic': []}","{'filter:water': [], 'glass': [], 'pan': [], 'sponge': [], 'bowl': [], 'spoon': [], 'bowl:food:processor': [], 'packaging:biscuit': [], 'ladder': [], 'biscuit': [], 'tin:cocoa:powder': [], 'tin:condensed:milk': [], 'blade:food:processor:chopping': [], 'cover:food:processor': [], 'blade:chopping': [], 'apron': [], 'tray:oven': [], 'butter': [], 'knife': [], 'spoon:wooden': [], 'opener:can': [], 'powder:cocoa': [], 'lid': [], 'paper:foil': [], 'bag:plastic': [], 'cover:plastic': []}"
P02_132,"['pan', 'tupperware', 'pie', 'lid', 'lid:tupperware', 'paper:foiled', 'board:chopping', 'knife', 'cylinder:paper', 'piece:chocolate', 'crumbles:chocolate', 'paper:foil']","{'pan': [], 'tupperware': [], 'pie': [], 'lid': [], 'lid:tupperware': [], 'paper:foiled': [], 'board:chopping': [], 'knife': [], 'cylinder:paper': [], 'piece:chocolate': [], 'crumbles:chocolate': [], 'paper:foil': []}","{'pan': [], 'tupperware': [], 'pie': [], 'lid': [], 'lid:tupperware': [], 'paper:foiled': [], 'board:chopping': [], 'knife': [], 'cylinder:paper': [], 'piece:chocolate': [], 'crumbles:chocolate': [], 'paper:foil': []}"
P02_133,"['lid:pan', 'plate', 'yoghurt', 'spoon', 'lid', 'pan']","{'lid:pan': [], 'plate': [], 'yoghurt': [], 'spoon': [], 'lid': [], 'pan': []}","{'lid:pan': [], 'plate': [], 'yoghurt': [], 'spoon': [], 'lid': [], 'pan': []}"
P02_135,"['mug', 'capsule:coffee', 'bag', 'mesh:orange', 'orange', 'milk', 'stirrer:wooden', 'half:bagel', 'knife', 'jar:jam', 'plate', 'glass', 'filter:water', 'bagel', 'lid', 'mug:coffee']","{'mug': [], 'capsule:coffee': [], 'bag': [2, 2, 2], 'mesh:orange': [], 'orange': [], 'milk': [], 'stirrer:wooden': [], 'half:bagel': [], 'knife': [], 'jar:jam': [], 'plate': [], 'glass': [], 'filter:water': [], 'bagel': [2, 2, 2], 'lid': [], 'mug:coffee': []}","{'mug': [], 'capsule:coffee': [], 'bag': [], 'mesh:orange': [], 'orange': [], 'milk': [], 'stirrer:wooden': [], 'half:bagel': [2, 2, 2], 'knife': [], 'jar:jam': [], 'plate': [], 'glass': [], 'filter:water': [], 'bagel': [], 'lid': [], 'mug:coffee': []}"
P03_111,"['chilli', 'saucepan', 'liquid:washing:up', 'spoon', 'clothes', 'lid']","{'chilli': [1, 1, 2], 'saucepan': [], 'liquid:washing:up': [], 'spoon': [], 'clothes': [], 'lid': []}","{'chilli': [1, 1, 1], 'saucepan': [], 'liquid:washing:up': [], 'spoon': [], 'clothes': [], 'lid': []}"
P03_112,"['kettle', 'pan', 'jug:measuring', 'mug', 'container:rice', 'salt', 'rice', 'scissors', 'lid:saucepan', 'lid', 'sieve', 'plate', 'grater:cheese', 'bowl', 'glass', 'knife', 'ladle', 'cutlery', 'cheese', 'bag:cheese', 'bag:sweetcorn', 'spoon', 'brush', 'bottom:springform:tin', 'dust', 'dustpan', 'saucepan']","{'kettle': [], 'pan': [], 'jug:measuring': [], 'mug': [], 'container:rice': [], 'salt': [], 'rice': [], 'scissors': [], 'lid:saucepan': [], 'lid': [], 'sieve': [], 'plate': [], 'grater:cheese': [], 'bowl': [], 'glass': [], 'knife': [], 'ladle': [], 'cutlery': [], 'cheese': [1, 1, 2], 'bag:cheese': [], 'bag:sweetcorn': [], 'spoon': [], 'brush': [], 'bottom:springform:tin': [], 'dust': [], 'dustpan': [], 'saucepan': []}","{'kettle': [], 'pan': [], 'jug:measuring': [], 'mug': [], 'container:rice': [], 'salt': [], 'rice': [], 'scissors': [], 'lid:saucepan': [], 'lid': [], 'sieve': [], 'plate': [], 'grater:cheese': [], 'bowl': [], 'glass': [], 'knife': [], 'ladle': [], 'cutlery': [], 'cheese': [1, 1, 3], 'bag:cheese': [], 'bag:sweetcorn': [], 'spoon': [], 'brush': [], 'bottom:springform:tin': [], 'dust': [], 'dustpan': [], 'saucepan': []}"
P03_113,"['plate', 'lid', 'saucepan', 'liquid:washing:up', 'bowl:cheese', 'knife', 'fork']","{'plate': [], 'lid': [], 'saucepan': [], 'liquid:washing:up': [], 'bowl:cheese': [], 'knife': [], 'fork': []}","{'plate': [], 'lid': [], 'saucepan': [], 'liquid:washing:up': [], 'bowl:cheese': [], 'knife': [], 'fork': []}"
P03_120,"['egg', 'drawer:vegetable', 'lemon', 'blueberry', 'margarine', 'butter', 'tupperware:sugar', 'juicer', 'saucepan:large', 'bowl:large', 'tupperware:butter', 'scale', 'bowl', 'lid', 'tray', 'knife:paring', 'slice:butter', 'lid:tupperware', 'grater', 'knife:chef', 'towel:tea', 'half:lemon', 'cup:measuring', 'fork', 'eggshell', 'rind:lemon', 'carton:egg', 'spoon']","{'egg': [], 'drawer:vegetable': [], 'lemon': [], 'blueberry': [], 'margarine': [], 'butter': [], 'tupperware:sugar': [], 'juicer': [], 'saucepan:large': [], 'bowl:large': [], 'tupperware:butter': [], 'scale': [], 'bowl': [], 'lid': [], 'tray': [], 'knife:paring': [], 'slice:butter': [], 'lid:tupperware': [], 'grater': [], 'knife:chef': [], 'towel:tea': [], 'half:lemon': [], 'cup:measuring': [], 'fork': [], 'eggshell': [], 'rind:lemon': [], 'carton:egg': [], 'spoon': []}","{'egg': [], 'drawer:vegetable': [], 'lemon': [], 'blueberry': [], 'margarine': [], 'butter': [], 'tupperware:sugar': [], 'juicer': [], 'saucepan:large': [], 'bowl:large': [], 'tupperware:butter': [], 'scale': [], 'bowl': [], 'lid': [], 'tray': [], 'knife:paring': [], 'slice:butter': [], 'lid:tupperware': [], 'grater': [], 'knife:chef': [], 'towel:tea': [], 'half:lemon': [], 'cup:measuring': [], 'fork': [], 'eggshell': [], 'rind:lemon': [], 'carton:egg': [], 'spoon': []}"
P03_121,"['spoon', 'knife:paring', 'grater', 'bowl:sugar', 'bowl:lemon:zest', 'juicer', 'fork', 'jug:measuring']","{'spoon': [], 'knife:paring': [], 'grater': [], 'bowl:sugar': [], 'bowl:lemon:zest': [], 'juicer': [], 'fork': [], 'jug:measuring': []}","{'spoon': [], 'knife:paring': [], 'grater': [], 'bowl:sugar': [], 'bowl:lemon:zest': [], 'juicer': [], 'fork': [], 'jug:measuring': []}"
P03_123,"['spoon', 'ladle', 'mitt:oven', 'tray:baking', 'jar:clip:top', 'serviette', 'seal:clip:top:jar']","{'spoon': [], 'ladle': [], 'mitt:oven': [], 'tray:baking': [], 'jar:clip:top': [], 'serviette': [], 'seal:clip:top:jar': []}","{'spoon': [], 'ladle': [], 'mitt:oven': [], 'tray:baking': [], 'jar:clip:top': [], 'serviette': [], 'seal:clip:top:jar': []}"
P04_106,"['towel:tea', 'bowl', 'board:chopping', 'dough', 'glove:oven', 'teaspoon', 'chunk:pork:belly', 'roll:kitchen', 'foil', 'dish:oven']","{'towel:tea': [], 'bowl': [], 'board:chopping': [], 'dough': [], 'glove:oven': [], 'teaspoon': [], 'chunk:pork:belly': [], 'roll:kitchen': [], 'foil': [], 'dish:oven': []}","{'towel:tea': [], 'bowl': [], 'board:chopping': [], 'dough': [], 'glove:oven': [], 'teaspoon': [], 'chunk:pork:belly': [], 'roll:kitchen': [], 'foil': [], 'dish:oven': []}"
P04_107,"['towel:tea', 'dough', 'flour', 'knife', 'tray:baking', 'paper:greaseproof', 'scissors', 'ball:dough', 'chopstick', 'ramekin', 'oil', 'brush:pastry', 'pin:rolling', 'square:greaseproof:paper', 'square:paper', 'paper', 'side:dough', 'edge:dough', 'dish:oven', 'spoon']","{'towel:tea': [], 'dough': [], 'flour': [], 'knife': [], 'tray:baking': [], 'paper:greaseproof': [], 'scissors': [], 'ball:dough': [], 'chopstick': [], 'ramekin': [], 'oil': [], 'brush:pastry': [], 'pin:rolling': [], 'square:greaseproof:paper': [], 'square:paper': [], 'paper': [], 'side:dough': [], 'edge:dough': [], 'dish:oven': [2, 1, 2], 'spoon': []}","{'towel:tea': [], 'dough': [], 'flour': [], 'knife': [], 'tray:baking': [], 'paper:greaseproof': [], 'scissors': [], 'ball:dough': [2, 1, 2], 'chopstick': [], 'ramekin': [], 'oil': [], 'brush:pastry': [], 'pin:rolling': [], 'square:greaseproof:paper': [], 'square:paper': [], 'paper': [], 'side:dough': [], 'edge:dough': [], 'dish:oven': [2, 1, 1], 'spoon': []}"
