ID,sequence,coordinates,start_coordinates,set_0,set_1,set_2,set_3,set_4,set_5,set_6,set_7,set_8,set_9
k01,"['set_0', 'besteck_3', 'set_2', 'set_3', 'set_4', 'set_5']","{'besteck_1': [4.0, 3.0, 2.0], 'teller_flach_1': [4.0, 3.0, 2.0], 'teller_tief_1': [4.0, 3.0, 2.0], 'glas_1': [4.0, 3.0, 2.0], 'schale_1': [5.0, 3.0, 2.0], 'besteck_2': [4.0, 3.0, 2.0], 'teller_flach_2': [4.0, 3.0, 2.0], 'teller_tief_2': [4.0, 3.0, 2.0], 'glas_2': [4.0, 3.0, 2.0], 'schale_2': [4.0, 3.0, 2.0], 'besteck_3': [4.0, 2.0, 2.0], 'teller_flach_3': [4.0, 2.0, 2.0], 'teller_tief_3': [4.0, 2.0, 2.0], 'glas_3': [4.0, 2.0, 2.0], 'schale_3': [4.0, 2.0, 2.0]}","[[2.0, 4.0, 2.0], [2.0, 4.0, 2.0], [2.0, 4.0, 2.0], [2.0, 4.0, 2.0], [2.0, 4.0, 2.0], [2.0, 4.0, 2.0], [2.0, 4.0, 2.0]]","['besteck_1', 'besteck_2']",,"['glas_1', 'glas_2', 'glas_3']","['schale_1', 'schale_2', 'schale_3']","['teller_tief_1', 'teller_tief_2', 'teller_tief_3']","['teller_flach_1', 'teller_flach_3', 'teller_flach_2']",,,,
k04,"['set_0', 'set_1', 'set_2', 'set_3', 'set_4']","{'besteck_1': [4.5, 4.2, 2.0], 'teller_flach_1': [4.5, 4.2, 2.0], 'teller_tief_1': [5.5, 4.2, 2.0], 'glas_1': [3.2, 4.5, 2.0], 'schale_1': [3.9, 4.5, 2.0], 'besteck_2': [3.2, 3.0, 2.0], 'teller_flach_2': [4.5, 3.0, 2.0], 'teller_tief_2': [4.7, 2.7, 2.0], 'glas_2': [4.7, 3.0, 2.0], 'schale_2': [2.1, 4.1, 2.0], 'besteck_3': [5.2, 2.0, 2.0], 'teller_flach_3': [4.1, 2.1, 2.0], 'teller_tief_3': [5.2, 2.0, 2.0], 'glas_3': [4.5, 2.1, 2.0], 'schale_3': [4.8, 3.9, 2.0]}","[[3.5, 3.0, 2.0], [3.5, 3.0, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['teller_flach_3', 'schale_3', 'besteck_2']","['besteck_1', 'besteck_3', 'schale_1, schale_2']","['glas_1', 'glas_3', 'glas_2']","['teller_tief_2', 'teller_tief_3', 'teller_tief_1']","['teller_flach_1', 'teller_flach_2']",,,,,
k06,"['set_0', 'set_1', 'set_2', 'set_3', 'set_4']","{'besteck_1': [5.0, 3.5, 2.0], 'teller_flach_1': [5.0, 3.5, 2.0], 'teller_tief_1': [5.0, 3.2, 2.0], 'glas_1': [5.0, 3.4, 2.0], 'schale_1': [5.1, 3.4, 2.0], 'besteck_2': [4.5, 3.3, 2.0], 'teller_flach_2': [4.5, 3.3, 2.0], 'teller_tief_2': [4.7, 3.0, 2.0], 'glas_2': [4.7, 3.2, 2.0], 'schale_2': [4.7, 3.7, 2.0], 'besteck_3': [4.5, 2.2, 2.0], 'teller_flach_3': [4.5, 2.2, 2.0], 'teller_tief_3': [4.8, 2.0, 2.0], 'glas_3': [4.9, 2.1, 2.0], 'schale_3': [4.5, 2.2, 2.0]}","[[2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['besteck_2', 'besteck_1', 'besteck_3']","['teller_flach_3', 'teller_flach_2', 'teller_flach_1']","['teller_tief_3', 'teller_tief_1', 'teller_tief_2']","['schale_2', 'schale_3', 'schale_1']","['glas_3', 'glas_2', 'glas_1']",,,,,
k08,"['set_0', 'set_1', 'set_2', 'set_3', 'teller_flach_1', 'set_5', 'set_6', 'glas_3']","{'besteck_1': [5.0, 3.7, 2.0], 'teller_flach_1': [5.0, 3.7, 2.0], 'teller_tief_1': [5.4, 3.5, 2.0], 'glas_1': [3.6, 4.9, 2.0], 'schale_1': [5.5, 3.7, 2.0], 'besteck_2': [4.5, 3.1, 2.0], 'teller_flach_2': [4.5, 3.1, 2.0], 'teller_tief_2': [5.0, 3.1, 2.0], 'glas_2': [3.0, 4.7, 2.0], 'schale_2': [5.0, 2.9, 2.0], 'besteck_3': [4.5, 2.4, 2.0], 'teller_flach_3': [4.5, 2.4, 2.0], 'teller_tief_3': [5.0, 2.4, 2.0], 'glas_3': [4.7, 2.1, 2.0], 'schale_3': [5.0, 2.9, 2.0]}","[[2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['besteck_3', 'teller_flach_3']","['besteck_2', 'teller_flach_2']","['teller_tief_3', 'teller_tief_2']","['besteck_1', 'teller_flach_1']",,"['schale_1', 'schale_3', 'Schale_2']","['glas_1', 'glas_2']",,,
k11,"['set_0', 'besteck_3', 'besteck_3', 'set_3', 'set_4', 'set_5', 'set_6', 'set_7', 'set_8']","{'besteck_1': [5.0, 3.6, 2.0], 'teller_flach_1': [5.0, 3.6, 2.0], 'teller_tief_1': [5.5, 3.6, 2.0], 'glas_1': [5.0, 3.7, 2.0], 'schale_1': [5.1, 3.7, 2.0], 'besteck_2': [4.5, 3.2, 2.0], 'teller_flach_2': [4.5, 3.2, 2.0], 'teller_tief_2': [4.5, 3.7, 2.0], 'glas_2': [4.6, 3.0, 2.0], 'schale_2': [4.9, 3.7, 2.0], 'besteck_3': [4.5, 2.4, 2.0], 'teller_flach_3': [4.5, 2.4, 2.0], 'teller_tief_3': [5.0, 2.1, 2.0], 'glas_3': [4.7, 2.2, 2.0], 'schale_3': [4.5, 2.4, 2.0]}","[[2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.4, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [3.9, 4.1, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['besteck_1', 'besteck_2']",,,"['teller_flach_2', 'teller_flach_1']","['teller_tief_2', 'teller_tief_1']","['schale_3', 'teller_tief_3']","['glas_1', 'glas_2']","['schale_2', 'schale_1']","['glas_3', 'teller_tief_3']",
k12,"['set_0', 'besteck_2', 'set_2', 'set_3', 'besteck_1', 'set_5', 'set_6', 'set_7']","{'besteck_1': [5.5, 3.7, 2.0], 'teller_flach_1': [5.5, 3.7, 2.0], 'teller_tief_1': [4.9, 3.5, 2.0], 'glas_1': [5.4, 3.5, 2.0], 'schale_1': [5.5, 3.4, 2.0], 'besteck_2': [4.5, 3.5, 2.0], 'teller_flach_2': [4.5, 3.5, 2.0], 'teller_tief_2': [4.5, 3.0, 2.0], 'glas_2': [4.6, 3.0, 2.0], 'schale_2': [4.6, 3.2, 2.0], 'besteck_3': [4.5, 2.4, 2.0], 'teller_flach_3': [4.5, 2.4, 2.0], 'teller_tief_3': [5.0, 2.4, 2.0], 'glas_3': [4.7, 2.3, 2.0], 'schale_3': [5.0, 2.6, 2.0]}","[[3.0, 3.9, 2.0], [3.0, 3.9, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['besteck_1', 'teller_flach_1']",,"['teller_flach_2', 'teller_tief_2']","['glas_3', 'glas_2']",,"['teller_flach_1', 'teller_tief_1', 'schale_2']","['schale_1', 'glas_1']","['schale_3', 'teller_tief_3']",,
k14,"['set_0', 'set_1', 'schale_1', 'besteck_1', 'set_4', 'teller_tief_1', 'teller_tief_2', 'set_7', 'set_8', 'schale_3']","{'besteck_1': [5.0, 3.7, 2.0], 'teller_flach_1': [5.0, 3.7, 2.0], 'teller_tief_1': [5.3, 3.5, 2.0], 'glas_1': [4.8, 3.7, 2.0], 'schale_1': [4.9, 3.5, 2.0], 'besteck_2': [4.2, 3.7, 2.0], 'teller_flach_2': [4.2, 3.7, 2.0], 'teller_tief_2': [5.0, 3.1, 2.0], 'glas_2': [4.6, 3.2, 2.0], 'schale_2': [4.8, 3.2, 2.0], 'besteck_3': [4.5, 2.1, 2.0], 'teller_flach_3': [4.2, 2.1, 2.0], 'teller_tief_3': [1.5, 4.5, 2.0], 'glas_3': [4.5, 2.1, 2.0], 'schale_3': [4.9, 2.2, 2.0]}","[[3.7, 4.2, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['besteck_2', 'teller_flach_2']","['schale_2', 'glas_1']",,,"['besteck_1', 'teller_flach_1']",,,"['glas_2', 'glas_3']","['besteck_3', 'teller_flach_3']",
k16,"['set_0', 'set_1', 'besteck_3', 'besteck_2', 'besteck_1', 'besteck_2', 'set_6', 'set_7', 'set_8']","{'besteck_1': [5.0, 3.8, 2.0], 'teller_flach_1': [5.0, 3.8, 2.0], 'teller_tief_1': [5.5, 3.2, 2.0], 'glas_1': [4.9, 3.5, 2.0], 'schale_1': [5.1, 3.5, 2.0], 'besteck_2': [4.3, 3.5, 2.0], 'teller_flach_2': [4.3, 3.5, 2.0], 'teller_tief_2': [5.0, 4.1, 2.0], 'glas_2': [4.4, 3.4, 2.0], 'schale_2': [5.0, 4.1, 2.0], 'besteck_3': [4.3, 2.1, 2.0], 'teller_flach_3': [4.3, 2.1, 2.0], 'teller_tief_3': [5.0, 2.1, 2.0], 'glas_3': [4.4, 2.0, 2.0], 'schale_3': [4.3, 2.1, 2.0]}","[[2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['besteck_2', 'besteck_1', 'teller_flach_2', 'teller_flach_1']","['besteck_3', 'schale_3', 'teller_flach_3', 'teller_tief_3']",,,,,"['schale_1', 'schale_2', 'schale_3']","['glas_2', 'glas_3', 'glas_1']","['teller_tief_1', 'teller_flach_2']",
k17,"['schale_1', 'set_1', 'set_2', 'set_3', 'set_4', 'besteck_3', 'set_6', 'set_7']","{'besteck_1': [5.5, 3.7, 2.0], 'teller_flach_1': [4.8, 3.8, 2.0], 'teller_tief_1': [5.5, 3.7, 2.0], 'glas_1': [4.7, 3.6, 2.0], 'schale_1': [4.8, 3.8, 2.0], 'besteck_2': [4.3, 3.2, 2.0], 'teller_flach_2': [4.3, 3.2, 2.0], 'teller_tief_2': [5.1, 2.6, 2.0], 'glas_2': [4.6, 3.1, 2.0], 'schale_2': [4.3, 3.2, 2.0], 'besteck_3': [4.3, 2.2, 2.0], 'teller_flach_3': [4.3, 2.2, 2.0], 'teller_tief_3': [5.3, 2.2, 2.0], 'glas_3': [4.7, 2.0, 2.0], 'schale_3': [4.3, 2.2, 2.0]}","[[2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]",,"['schale_2', 'schale_3']","['besteck_2', 'teller_flach_1', 'teller_flach_2']","['glas_2', 'glas_1']","['teller_tief_1', 'besteck_1']",,"['teller_flach_3', 'glas_3']","['teller_tief_3', 'teller_tief_2']",,
k18,"['set_0', 'set_1', 'set_2', 'set_3', 'set_4', 'set_5']","{'besteck_1': [5.0, 3.5, 2.0], 'teller_flach_1': [5.0, 3.5, 2.0], 'teller_tief_1': [5.6, 3.7, 2.0], 'glas_1': [5.3, 3.5, 2.0], 'schale_1': [4.8, 3.5, 2.0], 'besteck_2': [4.5, 3.5, 2.0], 'teller_flach_2': [4.5, 3.5, 2.0], 'teller_tief_2': [4.1, 3.2, 2.0], 'glas_2': [4.8, 3.2, 2.0], 'schale_2': [4.7, 3.2, 2.0], 'besteck_3': [5.0, 2.1, 2.0], 'teller_flach_3': [4.6, 2.5, 2.0], 'teller_tief_3': [5.0, 2.1, 2.0], 'glas_3': [4.7, 2.9, 2.0], 'schale_3': [4.6, 2.3, 2.0]}","[[2.5, 4.5, 2.0], [3.9, 4.1, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['besteck_2', 'besteck_1', 'teller_flach_1', 'teller_flach_2', 'teller_flach_3']","['teller_tief_2', 'teller_tief_2']","['besteck_3', 'schale_3', 'schale_2', 'schale_1']","['glas_2', 'glas_3', 'glas_1']","['schale_3', 'besteck_3']","['besteck_2', 'besteck_1']",,,,
k19,"['set_0', 'teller_tief_1', 'set_2', 'teller_tief_2', 'besteck_2', 'besteck_3', 'teller_tief_3', 'set_7', 'set_8', 'set_9']","{'besteck_1': [5.2, 3.8, 2.0], 'teller_flach_1': [5.2, 3.8, 2.0], 'teller_tief_1': [4.5, 3.8, 2.0], 'glas_1': [5.5, 3.2, 2.0], 'schale_1': [5.2, 3.5, 2.0], 'besteck_2': [4.5, 3.5, 2.0], 'teller_flach_2': [4.5, 3.5, 2.0], 'teller_tief_2': [4.2, 3.8, 2.0], 'glas_2': [5.1, 3.2, 2.0], 'schale_2': [5.0, 3.2, 2.0], 'besteck_3': [4.5, 2.3, 2.0], 'teller_flach_3': [4.5, 2.3, 2.0], 'teller_tief_3': [5.3, 2.0, 2.0], 'glas_3': [5.0, 2.3, 2.0], 'schale_3': [5.0, 2.1, 2.0]}","[[4.0, 4.1, 2.0], [4.0, 4.1, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['teller_flach_1', 'besteck_1']",,"['schale_1', 'glas_1']",,,,,"['teller_flach_1', 'teller_flach_2']","['schale_2', 'schale_3']","['glas_2', 'glas_3']"
k20,"['besteck_3', 'besteck_2', 'besteck_1', 'besteck_1', 'set_4', 'set_5', 'set_6', 'set_7']","{'besteck_1': [4.3, 3.6, 2.0], 'teller_flach_1': [4.3, 3.6, 2.0], 'teller_tief_1': [4.3, 3.6, 2.0], 'glas_1': [4.5, 3.5, 2.0], 'schale_1': [4.5, 3.7, 2.0], 'besteck_2': [4.2, 2.3, 2.0], 'teller_flach_2': [4.2, 2.3, 2.0], 'teller_tief_2': [4.5, 2.6, 2.0], 'glas_2': [4.6, 2.3, 2.0], 'schale_2': [4.7, 3.0, 2.0], 'besteck_3': [5.0, 2.1, 2.0], 'teller_flach_3': [5.5, 2.2, 2.0], 'teller_tief_3': [5.0, 2.1, 2.0], 'glas_3': [5.6, 2.4, 2.0], 'schale_3': [5.4, 2.4, 2.0]}","[[4.0, 1.9, 2.0], [4.0, 1.9, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]",,,,,"['teller_tief_1', 'teller_tief_3', 'teller_tief_3']","['teller_flach_2', 'teller_flach_3', 'teller_flach_1']","['schale_1', 'schale_2', 'schale_3']","['glas_1', 'glas_2', 'glas_3']",,
k21,"['set_0', 'set_1', 'set_2', 'set_3', 'set_4', 'set_5', 'set_6']","{'besteck_1': [5.1, 3.8, 2.0], 'teller_flach_1': [5.1, 3.8, 2.0], 'teller_tief_1': [5.6, 3.8, 2.0], 'glas_1': [5.0, 3.5, 2.0], 'schale_1': [5.1, 3.5, 2.0], 'besteck_2': [4.2, 3.5, 2.0], 'teller_flach_2': [4.2, 3.5, 2.0], 'teller_tief_2': [4.6, 3.5, 2.0], 'glas_2': [4.2, 3.2, 2.0], 'schale_2': [4.5, 3.7, 2.0], 'besteck_3': [4.6, 2.0, 2.0], 'teller_flach_3': [4.2, 2.2, 2.0], 'teller_tief_3': [4.6, 2.0, 2.0], 'glas_3': [5.0, 2.2, 2.0], 'schale_3': [4.2, 2.2, 2.0]}","[[4.0, 2.1, 2.0], [4.0, 2.1, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['teller_tief_3', 'glas_3']","['besteck_3', 'schale_3']","['teller_flach_3', 'teller_tief_2']","['teller_flach_2', 'besteck_2', 'glas_2']","['schale_2', 'glas_1']","['teller_tief_1', 'schale_1']","['teller_flach_1', 'besteck_1']",,,
k22,"['besteck_1', 'set_1', 'set_2', 'glas_3', 'set_4', 'set_5', 'set_6', 'set_7']","{'besteck_1': [5.0, 3.8, 2.0], 'teller_flach_1': [5.0, 3.8, 2.0], 'teller_tief_1': [5.2, 3.6, 2.0], 'glas_1': [4.8, 3.7, 2.0], 'schale_1': [4.9, 3.5, 2.0], 'besteck_2': [4.5, 2.7, 2.0], 'teller_flach_2': [4.5, 2.7, 2.0], 'teller_tief_2': [4.2, 2.2, 2.0], 'glas_2': [4.2, 2.3, 2.0], 'schale_2': [4.2, 2.5, 2.0], 'besteck_3': [5.5, 2.0, 2.0], 'teller_flach_3': [5.5, 2.0, 2.0], 'teller_tief_3': [5.0, 2.7, 2.0], 'glas_3': [5.0, 2.5, 2.0], 'schale_3': [5.0, 2.7, 2.0]}","[[2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]",,"['besteck_2', 'besteck_3']","['glas_1', 'glas_2']",,"['schale_1', 'schale_3', 'schale_2']","['teller_tief_2', 'teller_tief_3']","['teller_flach_2', 'teller_flach_3']","['teller_tief_1', 'teller_flach_1']",,
k23,"['besteck_1', 'set_1', 'set_2', 'set_3', 'set_4']","{'besteck_1': [5.0, 3.8, 2.0], 'teller_flach_1': [5.0, 3.8, 2.0], 'teller_tief_1': [5.1, 3.6, 2.0], 'glas_1': [4.9, 3.7, 2.0], 'schale_1': [5.2, 3.8, 2.0], 'besteck_2': [4.1, 3.6, 2.0], 'teller_flach_2': [4.1, 3.6, 2.0], 'teller_tief_2': [4.1, 3.9, 2.0], 'glas_2': [4.1, 3.6, 2.0], 'schale_2': [4.9, 3.6, 2.0], 'besteck_3': [2.1, 4.1, 2.0], 'teller_flach_3': [2.1, 4.1, 2.0], 'teller_tief_3': [2.1, 4.8, 2.0], 'glas_3': [4.9, 1.0, 2.0], 'schale_3': [4.5, 2.3, 2.0]}","[[4.0, 4.1, 2.0], [4.0, 4.1, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]",,"['besteck_2', 'besteck_3']","['teller_flach_1', 'teller_flach_2', 'teller_flach_3']","['schale_1', 'schale_2', 'schale_3', 'glas_2', 'glas_1']","['teller_tief_1', 'teller_tief_2', 'teller_tief_3']",,,,,
k24,"['besteck_3', 'besteck_2', 'besteck_1', 'set_3', 'set_4', 'set_5', 'set_6', 'set_7', 'set_8']","{'besteck_1': [5.0, 3.8, 2.0], 'teller_flach_1': [5.0, 3.8, 2.0], 'teller_tief_1': [5.1, 3.6, 2.0], 'glas_1': [4.9, 3.8, 2.0], 'schale_1': [5.2, 3.8, 2.0], 'besteck_2': [4.1, 3.6, 2.0], 'teller_flach_2': [4.1, 3.6, 2.0], 'teller_tief_2': [4.1, 3.9, 2.0], 'glas_2': [4.5, 3.0, 2.0], 'schale_2': [4.6, 3.1, 2.0], 'besteck_3': [4.1, 2.2, 2.0], 'teller_flach_3': [4.1, 2.2, 2.0], 'teller_tief_3': [4.6, 2.2, 2.0], 'glas_3': [4.6, 2.1, 2.0], 'schale_3': [4.3, 2.3, 2.0]}","[[2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]",,,,"['teller_flach_2', 'teller_flach_3']","['teller_flach_1', 'teller_tief_2']","['teller_tief_3', 'teller_tief_1']","['schale_3', 'glas_3']","['glas_2', 'glas_1']","['schale_2', 'schale_1']",
k25,"['set_0', 'besteck_1', 'set_2', 'set_3', 'set_4', 'set_5', 'set_6', 'set_7']","{'besteck_1': [5.0, 3.7, 2.0], 'teller_flach_1': [5.0, 3.7, 2.0], 'teller_tief_1': [5.0, 3.7, 2.0], 'glas_1': [4.8, 3.8, 2.0], 'schale_1': [5.0, 3.7, 2.0], 'besteck_2': [4.2, 3.4, 2.0], 'teller_flach_2': [4.2, 3.4, 2.0], 'teller_tief_2': [4.5, 2.9, 2.0], 'glas_2': [5.0, 3.2, 2.0], 'schale_2': [4.7, 3.2, 2.0], 'besteck_3': [4.2, 2.2, 2.0], 'teller_flach_3': [4.2, 2.2, 2.0], 'teller_tief_3': [4.7, 2.2, 2.0], 'glas_3': [4.4, 2.1, 2.0], 'schale_3': [4.2, 2.2, 2.0]}","[[2.0, 4.5, 2.0], [2.0, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0], [2.5, 4.5, 2.0]]","['besteck_3', 'besteck_2']",,"['glas_2', 'glas_1']","['schale_2', 'schale_3']","['schale_1', 'glas_3']","['teller_tief_1', 'teller_flach_2']","['teller_flach_3', 'teller_tief_2']","['teller_flach_1', 'teller_tief_3']",,
