,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,mean
"c: 1.2; k: 0.0,0.1; x",0.875,0.625,0.75,0.875,0.75,0.875,0.875,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.875,0.75,0.875,0.875,0.9375,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.625,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.6875,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.5,0.75,0.625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.75
"c: 1.2; k: 0.0,0.1; y",0.875,0.625,0.625,0.75,0.625,0.625,0.75,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.75,0.625,0.75,0.625,0.75,0.875,0.75,0.75,0.875,0.875,0.625,0.75,0.875,0.8125,0.625,0.625,0.875,0.75,0.625,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.6875,0.75,0.625,0.75,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.75,0.6948529411764706
"c: 1.2; k: 0.0,0.1; xy",0.875,0.625,0.75,0.875,0.875,0.875,0.75,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.875,0.75,0.875,0.75,1.0,0.75,0.75,0.75,0.625,0.75,0.75,0.625,0.5,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.75,0.75,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7389705882352942
"c: 1.2; k: 0.1,0.2; x",0.875,0.625,0.75,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.75,0.625,0.75,0.625,0.875,0.75,0.875,0.875,0.875,0.75,0.75,0.75,0.75,0.75,0.8125,0.625,0.5,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.625,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7380514705882353
"c: 1.2; k: 0.1,0.2; y",0.8125,0.75,0.625,0.75,0.625,0.75,0.625,0.625,0.6875,0.625,0.75,0.75,0.625,0.625,0.625,0.75,0.625,0.875,0.625,0.6875,0.875,0.75,0.75,0.875,0.875,0.6875,0.75,0.875,0.875,0.625,0.75,0.875,0.75,0.625,0.75,0.875,0.625,0.625,0.75,0.75,0.75,0.625,0.75,0.625,0.625,0.625,0.6875,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.75,0.75,0.625,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.75,0.625,0.703125
"c: 1.2; k: 0.1,0.2; xy",0.875,0.625,0.75,0.75,0.875,0.875,0.75,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.875,0.75,0.875,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.875,0.6875,0.5,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.625,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.5,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.75,0.75,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7362132352941176
"c: 1.2; k: 0.2,0.3; x",0.875,0.625,0.75,0.75,0.875,0.875,0.75,0.625,0.625,0.75,0.75,0.625,0.875,0.625,0.875,0.625,0.875,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.875,0.6875,0.5,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.5,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.8125,0.875,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7408088235294118
"c: 1.2; k: 0.2,0.3; y",0.75,0.625,0.625,0.75,0.75,0.625,0.75,0.75,0.6875,0.625,0.625,0.75,0.625,0.75,0.625,0.75,0.625,0.8125,0.625,0.625,0.75,0.75,0.75,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.625,0.875,0.75,0.625,0.75,0.875,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.75,0.6875,0.6875,0.625,0.75,0.625,0.75,0.625,0.75,0.75,0.625,0.75,0.625,0.625,0.75,0.75,0.625,0.625,0.75,0.6985294117647058
"c: 1.2; k: 0.2,0.3; xy",0.875,0.625,0.75,0.875,0.75,0.875,0.875,0.625,0.625,0.75,0.75,0.75,0.875,0.625,0.875,0.625,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.625,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.5,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.875,0.75,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7444852941176471
"c: 1.2; k: 0.3,0.4; x",0.875,0.625,0.75,0.75,0.875,0.875,0.75,0.625,0.75,0.75,0.75,0.75,0.875,0.625,0.875,0.75,0.875,0.875,1.0,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.5625,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.5,0.75,0.625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7527573529411765
"c: 1.2; k: 0.3,0.4; y",0.75,0.625,0.625,0.75,0.625,0.625,0.625,0.625,0.6875,0.75,0.625,0.625,0.75,0.6875,0.625,0.75,0.75,0.8125,0.625,0.625,0.875,0.75,0.75,0.875,0.875,0.625,0.75,0.875,0.75,0.625,0.75,0.875,0.75,0.75,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.75,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.625,0.75,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.625,0.625,0.6976102941176471
"c: 1.2; k: 0.3,0.4; xy",0.875,0.625,0.75,0.875,0.8125,0.875,0.875,0.625,0.625,0.75,0.75,0.625,0.875,0.625,0.875,0.625,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.8125,0.625,0.5,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.5625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.75,0.75,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7398897058823529
"c: 1.2; k: 0.4,0.5; x",0.875,0.625,0.75,0.75,0.875,0.875,0.875,0.625,0.6875,0.75,0.75,0.75,0.875,0.625,0.875,0.75,0.875,0.875,1.0,0.75,0.75,0.75,0.6875,0.75,0.75,0.625,0.5,0.875,0.75,0.75,0.75,0.75,0.625,0.75,0.6875,0.75,0.75,0.75,0.625,0.875,0.875,0.875,0.75,1.0,0.75,0.625,0.5625,0.75,0.625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.875,0.75,0.5,0.375,0.625,0.75,0.625,0.75,0.625,0.875,0.875,0.75,0.7408088235294118
"c: 1.2; k: 0.4,0.5; y",0.75,0.625,0.75,0.75,0.625,0.75,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.75,0.625,0.625,0.875,0.75,0.75,0.875,0.875,0.75,0.75,0.875,0.8125,0.6875,0.625,0.875,0.75,0.625,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.625,0.625,0.75,0.625,0.75,0.625,0.625,0.75,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.75,0.75,0.75,0.625,0.625,0.75,0.625,0.625,0.75,0.75,0.625,0.75,0.7077205882352942
"c: 1.2; k: 0.4,0.5; xy",0.875,0.625,0.75,0.75,0.75,0.875,0.875,0.75,0.625,0.75,0.75,0.75,0.75,0.625,0.875,0.625,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.5,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,0.9375,0.875,0.875,0.75,0.9375,0.75,0.625,0.625,0.75,0.625,0.625,0.5,0.625,0.875,0.75,0.625,0.875,0.875,0.8125,0.5,0.375,0.625,0.75,0.625,0.75,0.625,0.875,0.875,0.75,0.7398897058823529
"c: 1.2; k: 0.5,0.6; x",0.875,0.625,0.75,0.875,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.625,0.75,0.625,0.875,0.75,0.875,0.875,1.0,0.75,0.75,0.75,0.625,0.75,0.875,0.625,0.5,0.75,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875,0.75,1.0,0.75,0.625,0.5,0.75,0.5,0.625,0.5,0.75,0.875,0.75,0.625,0.8125,0.875,0.875,0.5625,0.375,0.625,0.75,0.625,0.625,0.625,0.875,0.875,0.75,0.7408088235294118
"c: 1.2; k: 0.5,0.6; y",0.875,0.625,0.625,0.75,0.75,0.75,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.75,0.625,0.625,0.875,0.75,0.75,0.875,0.75,0.75,0.75,0.875,0.75,0.625,0.625,0.875,0.75,0.6875,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.75,0.75,0.75,0.625,0.625,0.6875,0.625,0.75,0.625,0.625,0.625,0.625,0.75,0.625,0.625,0.625,0.6875,0.75,0.625,0.625,0.75,0.625,0.75,0.625,0.625,0.625,0.75,0.6957720588235294
"c: 1.2; k: 0.5,0.6; xy",0.875,0.625,0.75,0.75,0.75,0.875,0.75,0.6875,0.625,0.75,0.75,0.625,0.875,0.625,0.875,0.75,0.875,0.875,0.875,0.75,0.75,0.75,0.6875,0.75,0.875,0.625,0.5,0.75,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.6875,0.875,0.875,0.875,0.75,1.0,0.75,0.625,0.625,0.75,0.625,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.875,0.875,0.5,0.375,0.625,0.75,0.625,0.75,0.625,0.875,0.875,0.75,0.7398897058823529
"c: 1.2; k: 0.6,0.7; x",0.875,0.625,0.75,0.875,0.875,0.875,0.75,0.625,0.625,0.75,0.75,0.625,0.875,0.625,0.875,0.75,0.875,0.875,0.875,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.625,0.75,0.75,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,1.0,0.875,0.875,0.75,1.0,0.75,0.625,0.625,0.75,0.625,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.75,0.625,0.75,0.625,0.875,0.875,0.75,0.7518382352941176
"c: 1.2; k: 0.6,0.7; y",0.75,0.75,0.625,0.75,0.625,0.75,0.625,0.625,0.625,0.75,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.75,0.625,0.75,0.875,0.75,0.75,0.875,0.875,0.625,0.75,0.875,0.75,0.625,0.6875,0.875,0.75,0.75,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.75,0.625,0.625,0.625,0.6875,0.75,0.6875,0.75,0.625,0.75,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.75,0.625,0.625,0.625,0.75,0.75,0.6994485294117647
"c: 1.2; k: 0.6,0.7; xy",0.875,0.625,0.75,0.875,0.875,0.875,0.75,0.625,0.625,0.75,0.75,0.625,0.875,0.625,0.875,0.75,0.875,0.75,1.0,0.75,0.75,0.75,0.625,0.75,0.875,0.625,0.625,0.75,0.75,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.875,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.625,0.5,0.625,0.875,0.75,0.625,0.875,0.875,0.875,0.625,0.375,0.625,0.75,0.625,0.625,0.625,0.875,0.875,0.75,0.7444852941176471
"c: 1.2; k: 0.7,0.8; x",0.875,0.625,0.75,0.8125,0.875,0.875,0.75,0.625,0.625,0.75,0.75,0.625,0.875,0.625,0.875,0.75,0.875,0.875,1.0,0.75,0.75,0.75,0.625,0.75,0.75,0.625,0.625,0.75,0.75,0.875,0.75,0.8125,0.75,0.75,0.75,0.75,0.75,0.75,0.625,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.5,0.75,0.625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.75,0.625,0.625,0.625,0.875,0.875,0.75,0.7426470588235294
"c: 1.2; k: 0.7,0.8; y",0.75,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.625,0.625,0.75,0.625,0.8125,0.75,0.625,0.875,0.75,0.75,0.875,0.875,0.75,0.75,0.8125,0.875,0.625,0.625,0.875,0.75,0.75,0.75,0.875,0.625,0.75,0.625,0.75,0.75,0.75,0.75,0.6875,0.6875,0.625,0.625,0.625,0.625,0.75,0.625,0.75,0.6875,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.625,0.75,0.625,0.703125
"c: 1.2; k: 0.7,0.8; xy",0.875,0.625,0.75,0.875,0.875,0.875,0.75,0.75,0.625,0.75,0.75,0.625,0.875,0.625,0.875,0.75,0.875,0.875,0.875,0.75,0.75,0.75,0.6875,0.75,0.75,0.625,0.5,0.75,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.5,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.75,0.625,0.75,0.75,0.875,0.875,0.75,0.7454044117647058
"c: 1.2; k: 0.8,0.9; x",0.875,0.625,0.75,0.875,0.75,0.875,0.75,0.625,0.625,0.875,0.75,0.625,0.75,0.625,0.875,0.75,0.875,0.875,1.0,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.625,0.75,0.75,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.8125,0.625,1.0,0.875,0.875,0.75,1.0,0.75,0.625,0.625,0.75,0.5,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.75,0.625,0.625,0.625,0.875,0.875,0.75,0.7472426470588235
"c: 1.2; k: 0.8,0.9; y",0.875,0.75,0.75,0.75,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.75,0.75,0.625,0.75,0.75,0.875,0.625,0.625,0.875,0.75,0.75,0.875,0.875,0.75,0.75,0.75,0.75,0.625,0.625,0.875,0.75,0.75,0.75,0.875,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.625,0.6875,0.75,0.75,0.625,0.6875,0.625,0.6875,0.75,0.625,0.75,0.625,0.625,0.625,0.75,0.6875,0.625,0.625,0.6875,0.625,0.625,0.625,0.625,0.75,0.625,0.7068014705882353
"c: 1.2; k: 0.8,0.9; xy",0.875,0.625,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.875,0.75,0.625,0.875,0.625,0.875,0.75,0.875,0.8125,1.0,0.75,0.75,0.75,0.75,0.75,0.875,0.625,0.5,0.75,0.75,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.875,0.625,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.5,0.75,0.625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.75,0.625,0.75,0.625,0.875,0.875,0.75,0.7490808823529411
sequence,ocsfgkbp,posfkcgb,pogbfkcs,gpocksfb,pofkscgb,posgkbfc,pocskfgb,psfkbgco,pfkscbgo,pfskbgco,pskfcbgo,pfkscbgo,psfkgbco,pfkoscgb,pcgbfkos,gpbokfsc,pbokgcfs,gcpbokfs,pbsokfgc,pbocgksf,sfkpcgbo,spgokfcb,spbkgfco,cgokpbsf,fkspcobg,pkfsogcb,cpkfgsob,cogsfbpk,cgpsbkfo,pfksgcbo,pcskfogb,sokpfcbg,fpkgosbc,pbofgsck,cpgfksbo,gfcspkob,pkfsobgc,pkfsogbc,pofkscgb,opksfcgb,pbgokfsc,pcgbfkso,pcsofkgb,poskfgcb,pscgfobk,pfkcogsb,pkfsgcob,pcfksbgo,pocfskgb,pofkcsgb,pcsfkogb,pkfsbogc,pkfsgcob,pkfsgcob,pkfsgcbo,pkfoscbg,pkosfgcb,pkfoscgb,pkfsogbc,pkfsbgoc,pkfsgcbo,pkfsgcob,pkfsgcbo,pkfsbcgo,pkfsocgb,pfskocgb,pokfscgb,pfskogcb,
error,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,
ID,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,
