simulation,trial,start_time,end_time,duration,duration_seconds,type,sequence
1,0,02:20:17 PM,02:26:15 PM,00:05:58,358,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,1,02:26:17 PM,02:31:24 PM,00:05:07,307,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,2,02:31:26 PM,02:36:32 PM,00:05:06,306,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,3,02:36:36 PM,02:41:44 PM,00:05:08,308,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,4,02:41:47 PM,02:46:15 PM,00:04:28,268,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,5,02:46:16 PM,02:51:52 PM,00:05:36,336,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,6,02:51:56 PM,02:57:58 PM,00:06:02,362,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,7,10:14:11 AM,10:19:35 AM,00:05:24,324,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,8,10:19:39 AM,10:25:09 AM,00:05:30,330,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,9,10:28:45 AM,10:34:32 AM,00:05:47,347,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,0,09:23:50 AM,09:30:32 AM,00:06:42,402,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,1,09:30:34 AM,09:36:43 AM,00:06:09,369,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,2,09:36:45 AM,09:42:56 AM,00:06:11,371,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,3,09:42:58 AM,09:48:52 AM,00:05:54,354,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,4,09:48:54 AM,09:54:20 AM,00:05:26,326,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,5,09:54:22 AM,09:59:58 AM,00:05:36,336,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,6,10:00:00 AM,10:07:02 AM,00:07:02,422,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,7,10:07:03 AM,10:12:55 AM,00:05:52,352,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,8,10:12:56 AM,10:18:52 AM,00:05:56,356,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,9,10:18:54 AM,10:25:08 AM,00:06:14,374,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,0,10:55:24 AM,11:00:44 AM,00:05:20,320,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,1,11:00:46 AM,11:06:06 AM,00:05:20,320,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,2,11:06:08 AM,11:11:40 AM,00:05:20,320,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,3,11:11:41 AM,11:17:01 AM,00:05:32,332,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,4,11:17:03 AM,11:23:00 AM,00:05:20,320,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,5,11:23:01 AM,11:29:09 AM,00:05:57,357,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,6,11:29:11 AM,11:34:57 AM,00:06:08,368,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,7,11:34:59 AM,11:40:45 AM,00:05:46,346,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,8,11:40:47 AM,11:47:03 AM,00:05:46,346,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,9,11:47:05 AM,11:52:49 AM,00:06:16,376,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,0,11:55:29 AM,12:00:49 PM,00:05:20,320,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,1,12:00:53 PM,12:05:50 PM,00:04:57,297,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,2,12:05:52 PM,12:11:01 PM,00:05:09,309,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,3,12:11:03 PM,12:17:00 PM,00:05:57,357,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,4,12:17:01 PM,12:22:12 PM,00:05:11,311,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,5,12:22:14 PM,12:27:57 PM,00:05:43,343,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,6,12:27:59 PM,12:34:08 PM,00:06:09,369,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,7,12:34:10 PM,12:40:28 PM,00:06:18,378,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,8,12:40:30 PM,12:46:34 PM,00:06:04,364,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,9,12:46:35 PM,12:52:31 PM,00:05:56,356,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,0,12:53:00 PM,12:57:54 PM,00:04:54,294,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,1,12:57:56 PM,01:03:32 PM,00:05:36,336,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,2,01:03:34 PM,01:09:02 PM,00:05:28,328,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,3,01:09:05 PM,01:15:02 PM,00:05:57,357,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,4,01:15:05 PM,01:20:23 PM,00:05:18,318,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,5,01:20:25 PM,01:26:17 PM,00:05:52,352,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,6,01:26:19 PM,01:32:26 PM,00:06:07,367,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,7,01:32:28 PM,01:38:57 PM,00:06:29,389,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,8,01:39:01 PM,01:44:14 PM,00:05:13,313,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,9,01:44:17 PM,01:50:41 PM,00:06:24,384,opm,"bowl, spoon, breakfast-cereal, cup, milk"
3,0,09:13:47 AM,09:18:38 AM,00:04:51,291,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,1,09:18:40 AM,09:24:26 AM,00:05:46,346,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,2,09:24:28 AM,09:29:23 AM,00:04:55,295,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,3,09:29:25 AM,09:34:48 AM,00:05:23,323,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,4,09:34:50 AM,09:40:38 AM,00:05:48,348,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,5,09:40:39 AM,09:46:23 AM,00:05:44,344,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,6,09:46:28 AM,09:51:58 AM,00:05:30,330,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,7,09:51:59 AM,09:57:24 AM,00:05:25,325,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,8,09:57:27 AM,10:03:41 AM,00:06:14,374,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
3,9,10:03:43 AM,10:08:59 AM,00:05:16,316,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,0,10:58:59 AM,11:04:25 AM,00:05:26,326,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,1,11:04:27 AM,11:10:41 AM,00:06:14,374,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,2,11:10:44 AM,11:17:12 AM,00:06:28,388,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,3,11:17:14 AM,11:24:28 AM,00:07:14,434,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,4,11:24:31 AM,11:32:07 AM,00:07:36,456,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,5,11:32:09 AM,11:40:07 AM,00:07:58,478,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,6,11:40:09 AM,11:47:15 AM,00:07:06,426,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,7,11:47:17 AM,11:55:38 AM,00:08:21,501,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,8,11:55:39 AM,12:04:11 PM,00:08:32,512,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,9,12:04:13 PM,12:11:38 PM,00:07:25,445,opm,"bowl, spoon, milk, cup, breakfast-cereal"
4,0,10:31:04 AM,10:37:21 AM,00:06:17,377,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,1,10:37:23 AM,10:43:42 AM,00:06:19,379,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,2,10:43:44 AM,10:50:45 AM,00:07:01,421,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,3,10:50:52 AM,10:57:32 AM,00:06:40,400,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,4,10:57:34 AM,11:04:59 AM,00:07:25,445,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,5,11:05:02 AM,11:11:46 AM,00:06:44,404,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,6,11:11:48 AM,11:18:55 AM,00:07:07,427,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,7,11:18:57 AM,11:26:14 AM,00:07:17,437,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,8,11:26:17 AM,11:33:51 AM,00:07:34,454,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
4,9,11:33:53 AM,11:41:23 AM,00:07:30,450,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,0,11:51:08 AM,11:57:09 AM,00:06:01,361,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,1,11:57:11 AM,12:02:45 PM,00:05:34,334,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,2,12:02:47 PM,12:09:57 PM,00:07:10,430,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,3,12:10:02 PM,12:16:56 PM,00:06:54,414,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,4,12:16:58 PM,12:24:33 PM,00:07:35,455,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,5,12:24:35 PM,12:31:52 PM,00:07:17,437,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,6,12:31:55 PM,12:39:07 PM,00:07:12,432,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,7,12:39:09 PM,12:46:46 PM,00:07:37,457,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,8,12:46:49 PM,12:54:28 PM,00:07:39,459,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,9,12:54:30 PM,01:03:18 PM,00:08:48,528,opm,"bowl, milk, breakfast-cereal, spoon, cup"
5,0,01:03:52 PM,01:10:35 PM,00:06:43,403,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,1,01:10:37 PM,01:16:35 PM,00:05:58,358,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,2,01:16:37 PM,01:23:36 PM,00:06:59,419,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,3,01:23:38 PM,01:30:47 PM,00:07:09,429,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,4,01:30:50 PM,01:38:13 PM,00:07:23,443,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,5,01:38:15 PM,01:46:01 PM,00:07:46,466,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,6,01:46:03 PM,01:54:11 PM,00:08:08,488,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,7,01:54:13 PM,02:01:31 PM,00:07:18,438,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,8,02:01:33 PM,02:09:04 PM,00:07:31,451,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
5,9,02:09:08 PM,02:18:03 PM,00:08:55,535,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
